#fields:Hanzi	Pinyin	English	HSK	Notes	Tags
般若	bōrě	prajñā; the Buddhist wisdom that sees emptiness		般若 is the specific Buddhist wisdom that perceives the emptiness of self and phenomena: not knowledge, not cleverness, but the realization that dissolves clinging at its root.	buddhism philosophy religion classics
帮助	bāngzhù	to help		The everyday word for help, both verb and noun, and how it differs from the lighter 帮 and the separable 帮忙 (to do a favor).	vocabulary daily-life society communication
比较	bǐjiào	to compare; relatively, fairly		Compare and qualify: the word that measures differences and hedges claims in everyday Mandarin.	grammar comparison daily-life
笔记	bǐjì	notes, jottings		Notes, jottings, and the Chinese literary tradition of the brush-record.	literacy literature calligraphy
必须	bìxū	must, have to (the obligation modal)		必须 is the strongest of the everyday modal verbs of obligation: a non-negotiable requirement that the speaker presents as not-up-for-discussion.	modal grammar register syntax
茶道	chádào	the way of tea		From wild forest leaf to civilizational ritual: how tea became China's quintessential art of presence.	tea culture ritual philosophy
茶具	cháju	Tea Implements		The vessels, tools, and objects of the tea table: from the Yixing purple clay teapot to the fairness pitcher, each implement with a name, a function, and an aesthetic logic.	tea teaware ceremony culture vocabulary
产品	chǎnpǐn	product, manufactured good		The standard Chinese word for product: what production yields and commerce moves. From factory floor to digital marketplace, 产品 names the output of organized human effort.	commerce economy production
传统	chuántǒng	tradition; traditional		The thread passed down through generations: and the concept that sits at the center of every Chinese debate about modernity, identity, and what to keep.	culture history confucianism
春节	Chūnjié	Spring Festival		The most important holiday in the Chinese calendar: customs, foods, taboos, the reunion dinner, and the cultural weight of the Spring Festival.	culture history family
慈悲	cíbēi	compassion; mercy		Two Sanskrit terms fused into one Chinese compound: the wish that beings be happy and the wish that they be free from suffering: both directions of the same opening movement.	buddhism compassion ethics virtue religion philosophy folk-religion
道德	dàodé	morality, ethics, virtue		The compound at the center of Chinese moral philosophy: the Way and its virtue, inseparable and mutually defining.	philosophy ethics confucianism
东西	dōngxi	things		East-west as the word for 'stuff': a window into directional cosmology.	directions colloquial things
方向	fāngxiàng	direction; orientation	2	方向 is the compass-word that holds together physical heading, life direction, political orientation, and the deeply Chinese sense that getting your bearings: 辨方向, is the first move in any undertaking.	space direction philosophy
风水	fēngshuǐ	wind and water		Geomancy, qi flow, and the cosmological logic of favorable siting.	cosmology geomancy space
风俗	fēngsú	customs, traditions, folk practices		The wind of culture and the ways of the people: how 风俗 differs from 习惯 and why the distinction matters.	culture daily-life history social
