#fields:Hanzi	Pinyin	English	Notes	Tags
"骸骨筑入墙内"	háigǔ zhù rù qiáng nèi	"bodies buried inside the wall"	Folk tradition since at least Tang times has held that the bones of dead labourers were mixed into the rammed earth. Archaeology has confirmed nearby labourer cemeteries with graves of those who died building the wall, but no systematic evidence that bodies were used as construction material.	history fortification border great-wall qin han ming architecture
"可以从太空看见"	kěyǐ cóng tàikōng kànjiàn	"visible from space"	The wall cannot be seen from space with the naked eye. It is long but only four to eight metres wide, narrower than most highways. The claim was a 1932 invention from Ripley's Believe It or Not! — published before any human had reached orbit.	history fortification border great-wall qin han ming architecture
"秦始皇修了长城"	qín shǐhuáng xiū le chángchéng	"Qin Shihuang built the Great Wall"	He connected and extended pre-existing Warring States walls. He did not build from nothing, and what he did build is mostly gone. The visual wall most people picture is Ming, fifteen centuries later.	history fortification border great-wall qin han ming architecture
"一道连续的墙"	yī dào liánxù de qiáng	"a continuous wall"	The Great Wall is not, and never was, a single continuous line. Even the Ming wall has parallel branches, doubled-back sections, gaps where rivers and mountains made building unnecessary, and stretches where it thins to a chain of isolated beacon towers.	history fortification border great-wall qin han ming architecture
*把书看	*bǎ shū kàn	WRONG — verb must have a resultative element	The most fundamental 把 error: using a bare verb with no resultative or directional complement. The construction requires that the action have a clear outcome. The sentence is ungrammatical because it doesn't tell us what happened to the book as a result.	syntax object disposal
*把他喜欢	*bǎ tā xǐhuān	WRONG — stative/emotional verbs cannot take 把	Stative verbs (是, 有, 像), mental-state verbs (喜欢, 爱, 恨, 讨厌, 知道, 认识, 觉得), and perception verbs (看见, 听见, 闻到) cannot be used in the 把 construction. The 把 construction requires an agent who deliberately acts on a concrete object with a physical or tangible result.	syntax object disposal
*把一本书看完	*bǎ yī běn shū kàn wán	WRONG (usually) — object must be definite	The object of 把 must be definite , a specific, known thing. An indefinite object (a book you haven't mentioned before, an unspecified amount) generally cannot be used. The construction implies you are taking hold of a particular thing and doing something to it.	syntax object disposal
*我把他看见了	*wǒ bǎ tā kànjian le	WRONG — unaffected objects cannot take 把	The object of the 把 construction must be affected by the action , it must undergo a change, be moved, be consumed, be transformed, or be disposed of. Perception and cognition verbs (看见 see, 听见 hear, 闻到 smell) involve objects that are registered but not physically affected.	syntax object disposal
阿弥陀经	Āmítuó Jīng	Smaller Sukhāvatīvyūha Sutra — the daily liturgy sutra	Also called the 小经 Xiǎo Jīng (Small Sutra). The briefest of the three, translated by Kumārajīva in 402 CE in a Chinese so elegant that it became the definitive liturgical text.	buddhism classics religion philosophy chan pure-land amitabha faith devotion recitation
阿是穴	āshìxué	Ashi points	Ashi points: tender spots with no fixed location, needled wherever the patient says "Ah, yes, that is it!" when pressed. Not on any meridian map, but recognized in classical texts as clinically valid.	tcm medicine health science history
阿姨	āyí	aunt; older woman	Auntie , used to address unfamiliar middle-aged women in informal contexts: cleaning staff, market vendors, neighbors. More personal than 女士 and warmer than nothing.	family social characters culture etiquette daily-life names
啊	a	emotional / exclamatory particle		particle pragmatics spoken particles grammar colloquial
矮	ǎi	short (in height); squat		adjectives daily-life scale degree perception meaning characters
