//角落書屋/Slices/Chemistry
本草纲目	běn cǎo gāng mù	the materia medica
分子	fēn zǐ	Molecule — Molecule: divided unit. The same word, differently stressed, means "member of a group" in political vocabulary (知识分子, intellectuals), a coincidence of compounding worth knowing before it confuses.
工程	gōng chéng	engineering
化学	huà xu é	Chemistry — Chemistry: transformation-study. 化学反应 is a chemical reaction; 化学式 (huàxuéshì) is a chemical formula, read left to right like grammar.
实验	shí yàn	Experiment — Experiment: to test against reality. 做实验 is to run an experiment; 实验室 is the laboratory; 实验中学 is the "experimental high school" found in nearly every Chinese city.
数学	shù xu é	Mathematics — Mathematics: number-study. 数学家 (shùxuéjiā) is a mathematician; 数学课 (shùxué kè) is math class, the collocation every student uses daily.
四大发明	sì dà fā míng	the Four Great Inventions
酸	suān	Acid; sour — Acid; sour. One word covers the chemical class and the taste, plus muscle soreness (腿酸, sore legs) and the sting of envy (心里酸酸的). Chemistry students never forget which taste an acid has.
物理	wù lǐ	physics; the principles of matter — 物 wù (thing; matter) + 理 lǐ (principle). Literally "the principles of things," the modern name for physics. A clear case of 理 meaning the lawful pattern running through the physical world.
氧气	yǎng qì	Oxygen (as breathable gas) — Oxygen (as breathable gas): the nourishing 氧 plus 气. 缺氧 (quēyǎng) is oxygen deprivation, used literally at altitude and figuratively for stuffy rooms and dull meetings.
元素	yuán sù	Element — Element: "original plain-stuff." Beyond the lab it means element in the design sense too: 中国元素 (Chinese elements) is the stock phrase for Chinese motifs in fashion or film.
