#fields:Hanzi	Pinyin	English	HSK	Radical	Notes	Tags
爱	ài	love, to love, to cherish	1	爫	Love in all its forms: romantic, familial, and the Confucian ethic of universal benevolence.	emotion romance confucianism
八	bā	eight; the luckiest number and the eight trigrams	1	八	Eight is the most coveted number in modern China through its near-homophony with 发 fā (to prosper), and the classical foundation of the eight trigrams that structure the Yijing.	cosmology culture language
白	bái	white, clear, plain, in vain	1	白	Sunlight on a single point. The character that names the color of mourning, the color of clarity, the empty plate, and the speech that hides nothing.	color clarity symbolism daily-life culture
百	bǎi	hundred; all kinds of	1	白	百姓, the hundred surnames, is classical Chinese for the common people, because the full range of ordinary family names stands in for everyone who is not nobility.	scale language history
北	běi	north; northern; to flee	2	匕	Two people standing back-to-back: the direction of cold and turning away that became the name of China's capital.	directions nature cosmology
本	běn	root, origin, this, a book	1	木	A tree with its root marked: the character for where a thing comes from. From root grows origin, the fundamental, one's own, the principal sum, and the bound volume you hold in your hand.	nature meaning measure-words characters
笔	bǐ	pen, brush, a stroke, writing	2	⺮	Bamboo over hair: the bamboo-handled writing brush drawn as a character. From the implement grow the act of writing, the strokes that build a glyph, and a measure word for sums and deals.	calligraphy writing brush arts
必	bì	certainly; must; necessarily	3	心	A character rooted in the image of a blade that divides without exception: certainty as the sharpness that leaves no room for maybe.	grammar modal logic classical ethics philosophy
变	biàn	to change, to transform	3	又	The character at the heart of the I Ching, the dynastic cycle, and the modern vocabulary of reform: change as the one constant.	philosophy change
表	biǎo	surface, to express, a table, a watch	2	衣	The garment radical worn on the outside: 表 runs from the outer surface of things to showing feeling, the chart on a page, and the watch on a wrist.	meaning perception communication characters
不	bù	no, not, negation	1	一	The most used character in Mandarin, and the foundation of every denial, refusal, and negation.	grammar negation syntax
部	bù	part, section, ministry, measure word	2	阝	The right-side city-mound radical marks an administrative division. From that grows the whole family of parts and wholes: a section of something, a government ministry, a military unit, and the measure word counted out for films, machines, and phones.	society meaning measure-words characters
才	cái	talent, ability, only-then, not until	2	扌	A sprout breaking ground, the first sign of growth. From that image grow two threads: talent as raw promise, and the adverb 才 that marks something later, harder, or smaller than expected.	ability timing meaning characters
