//角落書屋/Slices/Grammar
把	bǎ	the disposal construction — Moving the object before the verb: when and why.
吧	ba	the suggestion and confirmation particle — The softest word in Mandarin: how one syllable softens commands, hedges statements, and reads the room.
被	bèi	the passive — Agentive passive, unmarked passive, and the adversarial connotation.
比	bǐ	comparison structure — Mandarin's primary comparison marker: A 比 B + Adj expresses difference, not just ranking.
除了	chú le	except, besides, in addition to — The dual-function exclusion/inclusion marker: 除了 can narrow a set to everything except one thing, or expand it to include one more thing, depending on which particle follows.
从	cóng	from, since, following — The preposition of origin and following: 从 marks the starting point of movement in space and time, and appears in essential patterns for expressing duration, routes, and rules.
得	de	the degree complement — The bridge between action and result: how 得 links what you did to how well you did it.
的	de / dé / dì	得 · 地 · the three de's — Attribution, result complement, and adverbial marker: distinguished once and for all.
的话	de huà	if; in the case that — The soft conditional: how 的话 marks a premise without committing to it.
都	dōu	all, both, even: the universal scope adverb — The adverb that quantifies everything before it, not after, and whose position in a sentence determines whether you mean "none" or "not all."
对	duì	toward, regarding, correct — A preposition, adjective, and verb rolled into one: 对 introduces the object of an action, asserts correctness, and forms the backbone of Chinese directional expressions.
多少 / 几	duō shao / jǐ	how many, how much — The two question words for quantity: 几 for small countable numbers and 多少 for larger or unknown amounts, why 几 needs a measure word and 多少 may skip it, and how to ask prices and ages.
而且	ér qiě	moreover, and furthermore — Additive conjunction that layers information: not just "and" but "and on top of that."
刚	gāng	just now, just happened — The recency adverb: 刚 marks that something happened very recently, and contrast with 刚才, 刚刚, 才, and 已经.
给	gěi	to give, for, and to — The verb "to give," the coverb that marks a recipient or beneficiary ("for/to"), and a colloquial passive marker, all from one character.
跟	gēn	with; and; to follow — The everyday coverb for "with" and conjunction for "and", how the 跟…一起 and 跟…说 patterns work, the original verb "to follow", and how 跟 differs from 和, 同, and 与.
过	guò / guo	the experiential aspect marker — The particle that says 'I have ever done this'. Not when, not how often, just that it once happened. The most-confused pair with 了.
还	hái	still, also, even: the continuative adverb — One adverb, four distinct jobs, and a single thread connecting all of them: something continues past the expected boundary.
还是 / 或者	hái shi / huò zhě	"or" in questions vs. statements — Chinese splits English "or" in two: 还是 offers a choice in a question, 或者 offers an alternative in a statement. Using the wrong one is a classic error.
会	huì / néng / kě yǐ	能 · 可以 · the three 'can's — Learned ability vs. situational capacity vs. permission: not interchangeable.
就 vs. 才	jiù / cái	sooner vs. later — The timing and emphasis pair: speaker attitude encoded in one syllable.
可能	kěn éng	maybe, possible — The all-purpose word for possibility, working as adverb, adjective, and noun, and how it differs from 也许, 或许, 大概, and the modal 会.
来	lái / qù	去 · directional complements — 上来, 下去, 出去, 进来: the motion complement system mapped.
了	le	the perfective particle — Perfective aspect vs. change-of-state: the single most-confused particle.
离	lí	away from; distance — The coverb for distance and separation: the A 离 B + distance pattern for "how far", the verb sense "to leave / part from", and how 离 differs from 从 and 到 in marking space and time.
连…都/也	lián … dōu / yě	even X — The intensifier construction: raising the stakes of a claim.
量词	liàng cí	measure words — 个, 只, 条, 本, 张: the classifier taxonomy and the logic behind it.
吗	ma	the yes-no question particle — The simplest way to ask a question in Mandarin: add 吗 to the end of a statement. Plus how it differs from A-not-A questions and from 呢 and 吧.
嘛	ma	the obvious-conclusion particle — The particle that frames a statement as self-evident: explaining, justifying, or mildly exasperated that you even had to say it.
没有	méi yǒu	negation of possession and past action — The two most important negation characters, 不 and 没, and why they cannot be swapped.
乃	nǎi	classical connective: then, thereupon, thus; to be; only then — A classical connective that marks earned consequence: the result that follows because the condition was genuinely met, not merely next in line.
呢	ne	the continuation and reciprocal-question particle — The particle that turns a finished sentence into an open conversation: softens questions, returns them to the asker, and lets a state hang in the air.
起来	qǐ lái	directional complement: upward, inward, beginning — The most versatile directional complement in Mandarin: three distinct grammatical lives.
